loc_n	id	seq	ts	type	text	route	run	trip	drv	curr_r	rdr_c	n	err_route	err_run	err_trip	err_drv	err_rrt	dir	fs
1	19171	1	2/12/2022 00:38:00	31	Probed completed	0	0	0	0	0	0	0	1	0	1	1	1	 	1
1	19171	2	2/12/2022 00:38:00	1	Cashbox out	0	0	0	0	0	0	172	1	0	1	1	1	 	1
1	19171	3	2/12/2022 00:39:00	2	Cashbox in	0	0	0	0	0	0	172	1	0	1	1	1	 	1
1	19171	4	2/12/2022 00:39:00	30	Door closed	0	0	0	0	0	0	0	1	0	1	1	1	 	1
1	19171	5	2/12/2022 13:35:00	3	Logon	0	0	0	1	0	0	1	1	0	1	1	1	 	1
1	19171	6	2/12/2022 13:35:00	51	Menu entry event	1	0	1	1	0	0	0	1	0	1	1	1	I	1
1	19171	7	2/12/2022 14:00:00	50	Hourly event	9	0	9	9	0	13	0	0	0	0	0	1	I	1
1	19171	8	2/12/2022 14:30:00	3	Logon	1	0	1	603	0	0	603	1	0	1	0	1	I	1
1	19171	9	2/12/2022 14:30:00	51	Menu entry event	18	1833	183303	603	0	0	0	0	0	0	0	0	I	1
1	19171	10	2/12/2022 14:30:00	51	Menu entry event	18	1833	183303	603	0	90	0	0	0	0	0	0	O	1
1	19171	11	2/12/2022 15:00:00	50	Hourly event	18	1833	183303	603	0	45	0	0	0	0	0	0	O	1
1	19171	12	2/12/2022 15:29:00	51	Menu entry event	20	1833	183304	603	0	47	0	0	0	0	0	0	O	1
1	19171	13	2/12/2022 16:00:00	50	Hourly event	20	1833	183304	603	0	69	0	0	0	0	0	0	O	1
1	19171	14	2/12/2022 16:40:00	51	Menu entry event	18	1833	183305	603	1.00	0	0	0	0	0	0	0	O	1
1	19171	15	2/12/2022 17:00:00	50	Hourly event	18	1833	183305	603	0	0	0	0	0	0	0	0	O	1
1	19171	16	2/12/2022 17:13:00	4	Logoff	0	0	0	0	0	0	0	1	0	1	1	1	I	1
1	19171	17	2/12/2022 17:56:00	3	Logon	0	0	0	603	0	0	603	1	0	1	0	1	I	1
1	19171	18	2/12/2022 17:56:00	51	Menu entry event	18	1833	183306	603	0	0	0	0	0	0	0	0	I	1
1	19171	19	2/12/2022 17:56:00	51	Menu entry event	18	1833	183306	603	0	61	0	0	0	0	0	0	O	1
1	19171	20	2/12/2022 18:00:00	50	Hourly event	18	1833	183306	603	1.00	100	0	0	0	0	0	0	O	1
1	19171	21	2/12/2022 19:00:00	50	Hourly event	18	1833	183306	603	0	0	0	0	0	0	0	0	O	1
1	19171	22	2/12/2022 19:04:00	51	Menu entry event	18	1833	183307	603	0	85	0	0	0	0	0	0	O	1
1	19171	23	2/12/2022 20:00:00	50	Hourly event	18	1833	183307	603	0	6	0	0	0	0	0	0	O	1
1	19171	24	2/12/2022 20:14:00	4	Logoff	0	0	0	0	0	0	0	1	0	1	1	1	I	1
1	19171	25	2/13/2022 00:00:00	5	Midnight	0	0	0	0	0	0	0	1	0	1	1	1	I	1
1	19171	26	2/13/2022 10:52:00	3	Logon	0	0	0	677	0	0	677	1	0	1	0	1	I	1
1	19171	27	2/13/2022 10:52:00	51	Menu entry event	10	1031	103101	677	0	0	0	0	0	0	0	0	I	1
1	19171	28	2/13/2022 10:52:00	51	Menu entry event	10	1031	103101	677	0	0	0	0	0	0	0	0	O	1
1	19171	29	2/13/2022 10:54:00	4	Logoff	0	0	0	0	0	0	0	1	0	1	1	1	I	1
1	19171	30	2/13/2022 11:06:00	51	Menu entry event	10	1031	103101	0	0	0	0	0	0	0	1	0	I	1
1	19171	31	2/13/2022 11:16:00	3	Logon	10	1031	103101	677	0	54	677	0	0	0	0	0	O	1
1	19171	32	2/13/2022 11:56:00	51	Menu entry event	10	1031	103102	677	0	0	0	0	0	0	0	0	O	1
1	19171	33	2/13/2022 12:00:00	50	Hourly event	10	1031	103102	677	0	69	0	0	0	0	0	0	O	1
1	19171	34	2/13/2022 13:00:00	50	Hourly event	10	1031	103102	677	0	0	0	0	0	0	0	0	O	1
1	19171	35	2/13/2022 13:02:00	51	Menu entry event	10	1031	103103	677	0	40	0	0	0	0	0	0	O	1
1	19171	36	2/13/2022 14:00:00	50	Hourly event	10	1031	103103	677	2.00	69	0	0	0	0	0	0	O	1
1	19171	37	2/13/2022 15:00:00	50	Hourly event	10	1031	103103	677	0	0	0	0	0	0	0	0	O	1
