loc_n	id	seq	ts	type	text	route	run	trip	drv	curr_r	rdr_c	n	err_route	err_run	err_trip	err_drv	err_rrt	dir	fs
1	21860	1	4/20/2022 00:18:00	31	Probed completed	0	0	0	0	0	0	0	1	0	1	1	1	 	1
1	21860	2	4/20/2022 00:18:00	1	Cashbox out	0	0	0	0	0	0	203	1	0	1	1	1	 	1
1	21860	3	4/20/2022 00:19:00	2	Cashbox in	0	0	0	0	0	0	203	1	0	1	1	1	 	1
1	21860	4	4/20/2022 00:19:00	30	Door closed	0	0	0	0	0	0	0	1	0	1	1	1	 	1
1	21860	5	4/20/2022 07:17:00	3	Logon	0	0	0	591	0	0	591	1	0	1	0	1	 	1
1	21860	6	4/20/2022 07:17:00	51	Menu entry event	19	1902	190201	591	0	0	0	0	0	0	0	0	 	1
1	21860	7	4/20/2022 07:17:00	51	Menu entry event	19	1902	190201	591	0	33	0	0	0	0	0	0	O	1
1	21860	8	4/20/2022 08:00:00	50	Hourly event	19	1902	190201	591	0	3	0	0	0	0	0	0	O	1
1	21860	9	4/20/2022 08:21:00	51	Menu entry event	19	1902	190202	591	2.00	63	0	0	0	0	0	0	O	1
1	21860	10	4/20/2022 09:00:00	50	Hourly event	19	1902	190202	591	0	8	0	0	0	0	0	0	O	1
1	21860	11	4/20/2022 09:20:00	51	Menu entry event	19	1902	190203	591	4.00	55	0	0	0	0	0	0	O	1
1	21860	12	4/20/2022 10:00:00	50	Hourly event	19	1902	190203	591	0	13	0	0	0	0	0	0	O	1
1	21860	13	4/20/2022 10:21:00	51	Menu entry event	20	1902	190204	591	0	13	0	0	0	0	0	0	O	1
1	21860	14	4/20/2022 11:00:00	50	Hourly event	20	1902	190204	591	0	58	0	0	0	0	0	0	O	1
1	21860	15	4/20/2022 11:35:00	51	Menu entry event	18	1902	190205	591	4.00	20	0	0	0	0	0	0	O	1
1	21860	16	4/20/2022 12:00:00	50	Hourly event	18	1902	190205	591	3.00	40	0	0	0	0	0	0	O	1
1	21860	17	4/20/2022 12:49:00	51	Menu entry event	19	1902	190206	591	0	0	0	0	0	0	0	0	O	1
1	21860	18	4/20/2022 13:00:00	50	Hourly event	19	1902	190206	591	8.00	64	0	0	0	0	0	0	O	1
1	21860	19	4/20/2022 13:54:00	51	Menu entry event	18	1902	190207	591	0	0	0	0	0	0	0	0	O	1
1	21860	20	4/20/2022 14:00:00	50	Hourly event	18	1902	190207	591	0	85	0	0	0	0	0	0	O	1
1	21860	21	4/20/2022 15:00:00	50	Hourly event	18	1902	190207	591	0	6	0	0	0	0	0	0	O	1
1	21860	22	4/20/2022 15:19:00	51	Menu entry event	20	1902	190208	591	0	0	0	0	0	0	0	0	O	1
1	21860	23	4/20/2022 15:35:00	3	Logon	20	1902	190208	674	8.00	30	674	0	0	0	0	0	O	1
1	21860	24	4/20/2022 16:00:00	50	Hourly event	20	1902	190208	674	2.00	63	0	0	0	0	0	0	O	1
1	21860	25	4/20/2022 16:46:00	51	Menu entry event	10	1902	190209	674	0	0	0	0	0	0	0	0	O	1
1	21860	26	4/20/2022 17:00:00	50	Hourly event	10	1902	190209	674	2.00	63	0	0	0	0	0	0	O	1
1	21860	27	4/20/2022 17:58:00	51	Menu entry event	18	1902	190210	674	0	0	0	0	0	0	0	0	O	1
1	21860	28	4/20/2022 18:00:00	50	Hourly event	18	1902	190210	674	0	81	0	0	0	0	0	0	O	1
1	21860	29	4/20/2022 19:00:00	50	Hourly event	18	1902	190210	674	0	12	0	0	0	0	0	0	O	1
1	21860	30	4/20/2022 19:19:00	51	Menu entry event	19	1902	190211	674	0	23	0	0	0	0	0	0	O	1
1	21860	31	4/20/2022 20:00:00	50	Hourly event	19	1902	190211	674	0	23	0	0	0	0	0	0	O	1
1	21860	32	4/20/2022 20:20:00	51	Menu entry event	19	1902	190212	674	0	34	0	0	0	0	0	0	O	1
1	21860	33	4/20/2022 21:00:00	50	Hourly event	19	1902	190212	674	0	1	0	0	0	0	0	0	O	1
1	21860	34	4/20/2022 21:14:00	51	Menu entry event	19	1902	190213	674	0	26	0	0	0	0	0	0	O	1
1	21860	35	4/20/2022 22:00:00	50	Hourly event	19	1902	190213	674	0	0	0	0	0	0	0	0	O	1
1	21860	36	4/20/2022 22:13:00	51	Menu entry event	19	1902	190214	674	0	13	0	0	0	0	0	0	O	1
1	21860	37	4/20/2022 23:00:00	50	Hourly event	19	1902	190214	674	0	0	0	0	0	0	0	0	O	1
1	21860	38	4/20/2022 23:08:00	51	Menu entry event	19	1902	190215	674	0	3	0	0	0	0	0	0	O	1
1	21860	39	4/21/2022 00:00:00	5	Midnight	19	1902	190215	674	0	0	0	0	0	0	0	0	O	1
1	21860	40	4/21/2022 00:13:00	4	Logoff	0	0	0	0	0	0	0	1	0	1	1	1	I	1
